From,To,Species,Gene Name
FBgn0266268,43757,Drosophila melanogaster,Ferrochelatase(FeCH)
FBgn0030529,32349,Drosophila melanogaster,Chloride intracellular channel(Clic)
FBgn0037880,41349,Drosophila melanogaster,CG17726 gene product from transcript CG17726-RA(CG17726)
FBgn0024992,31253,Drosophila melanogaster,CG2658 gene product from transcript CG2658-RC(CG2658)
FBgn0039635,43437,Drosophila melanogaster,CG11876 gene product from transcript CG11876-RA(CG11876)
FBgn0015582,36203,Drosophila melanogaster,defective in the avoidance of repellents(dare)
FBgn0029945,31668,Drosophila melanogaster,CG18155 gene product from transcript CG18155-RB(CG18155)
FBgn0029858,31568,Drosophila melanogaster,CG15896 gene product from transcript CG15896-RB(CG15896)
FBgn0029949,31673,Drosophila melanogaster,CG15035 gene product from transcript CG15035-RA(CG15035)
FBgn0003423,33117,Drosophila melanogaster,sluggish A(slgA)
FBgn0024986,44736,Drosophila melanogaster,CG3719 gene product from transcript CG3719-RA(CG3719)
FBgn0000337,35724,Drosophila melanogaster,cinnabar(cn)
FBgn0019624,41432,Drosophila melanogaster,Cytochrome c oxidase subunit 5A(COX5A)
FBgn0029854,31562,Drosophila melanogaster,CG3566 gene product from transcript CG3566-RB(CG3566)
FBgn0028375,34961,Drosophila melanogaster,heixuedian(heix)
FBgn0029942,31663,Drosophila melanogaster,CG2059 gene product from transcript CG2059-RB(CG2059)
FBgn0028479,34276,Drosophila melanogaster,Mitochondrial trifunctional protein alpha subunit(Mtpalpha)
FBgn0032525,34763,Drosophila melanogaster,CG16954 gene product from transcript CG16954-RA(Hsp60D)
FBgn0031060,32982,Drosophila melanogaster,CG14231 gene product from transcript CG14231-RB(CG14231)
FBgn0012036,34256,Drosophila melanogaster,Aldehyde dehydrogenase(Aldh)
FBgn0030786,32662,Drosophila melanogaster,mitochondrial ribosomal protein L22(mRpL22)
FBgn0261955,31579,Drosophila melanogaster,knockdown(kdn)
FBgn0029958,31683,Drosophila melanogaster,Pyruvate dehydrogenase phosphatase(Pdp)
FBgn0039909,43798,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) 49 kDa subunit(ND-49)
FBgn0030883,32776,Drosophila melanogaster,CG7772 gene product from transcript CG7772-RA(CG7772)
FBgn0036892,40138,Drosophila melanogaster,Lon protease(Lon)
FBgn0021750,41862,Drosophila melanogaster,Seryl-tRNA synthetase(Aats-ser)
FBgn0037138,40434,Drosophila melanogaster,delta-1-Pyrroline-5-carboxylate dehydrogenase 1(P5CDh1)
FBgn0036691,39910,Drosophila melanogaster,bad egg(beg)
FBgn0034432,37217,Drosophila melanogaster,CG7461 gene product from transcript CG7461-RC(CG7461)
FBgn0038662,42268,Drosophila melanogaster,Mitochondrial pyruvate carrier(Mpc1)
