"ID","sM1","sM2","sM3","sM4","AveExpr","F","P.Value","adj.P.Val"
"1623824_at",0.047611992500002,-0.114700512499986,0.316036992500008,0.0677524125000026,9.451936789875,20.2503859935453,1.18142441235221e-07,2.40705696400534e-05
"1638455_at",0.2038888175,-0.227225059999992,0.353960072500004,0.117151037499997,8.520849209575,19.901024713557,1.39493170499536e-07,2.79694877738117e-05
"1641626_at",0.05401127875,-0.252793221499994,0.199099336000003,0.0303175304999996,7.233175800725,19.8252646435055,1.44650720518479e-07,2.85504359623347e-05
"1631323_a_at",0.208355499500002,-0.11984823949999,0.334559744500006,0.121333659250001,8.348463186,19.7081596344861,1.53031261909483e-07,2.97398600067783e-05
"1624840_at",0.117560727500002,-0.222923854999991,0.383454482500002,0.0744307174999994,8.4434064399,19.6151520820487,1.60059798069841e-07,3.06344752911854e-05
"1638376_at",-0.0385682632500006,0.229017513250004,-0.0412097537499991,0.0116523679999987,6.1632673513,19.2853765932096,1.87922262765681e-07,3.5430358556061e-05
"1635423_s_at",0.190071877499999,-0.0829039024999885,0.269780992500002,-0.0146764900000038,11.84888943,19.0601232546829,2.09934159687327e-07,3.89983574289752e-05
"1633584_at",0.16931061875,-0.288494612249991,0.236217958750004,0.0885654699999989,8.2902782822,18.975948858875,2.18859262459234e-07,4.00671043968847e-05
"1626687_at",0.128424620750001,-0.159595066249991,0.169517875250003,0.0285920262499975,6.9964948162,18.8719280869567,2.30457176255231e-07,4.15876435779439e-05
"1638033_at",0.00587970824999839,-0.354937536749994,-0.119118222749997,-0.0464956942500026,7.024178903925,18.7746844413247,2.41899663202993e-07,4.30376978250733e-05
"1630011_at",0.0698228100000033,-0.232814069999993,0.287165727500005,-0.019037092500005,8.4252040656,18.5235549347978,2.74377668898999e-07,4.81380376879466e-05
"1632452_at",0.0240771287499975,-0.267241364249992,0.298206327500006,-0.0590753380000013,8.45533467515,18.4122305749295,2.90250762971339e-07,5.02253101075883e-05
"1631800_at",0.224689983999999,-0.162668678999994,0.294116917500004,0.122875259499997,7.706078947225,18.2475396367635,3.1557399168368e-07,5.33441030238483e-05
"1640590_at",0.154691018500004,0.408008878250009,0.0813107422500083,0.235499667749999,8.4915242994,18.2404262197169,3.16720054368954e-07,5.33441030238483e-05
"1624777_at",0.0358613922500011,-0.299296515999992,0.156509157000003,-0.0417934047499999,7.3214723159,17.9475847304769,3.68019902448328e-07,6.1168781680622e-05
"1631774_at",-0.117426140750001,-0.402636717249994,-0.131253741999997,-0.0283272690000009,6.695287762575,17.8410654158645,3.8884225819205e-07,6.37903299413244e-05
"1630069_at",-0.0757173974999992,0.390096884250009,-0.0405399302499942,-0.0286963639999991,6.838762680825,17.7131278840993,4.15542839881167e-07,6.72966301715243e-05
"1640005_at",0.144038134000001,-0.235282506999989,0.324474546250003,0.0450466169999979,7.805992351,17.6411538414624,4.31426223774406e-07,6.89845070723835e-05
"1641478_s_at",0.0119339734999979,-0.301141192749993,0.236657321000001,-0.0319313500000025,7.464980483875,17.6085055601352,4.3884555088851e-07,6.92937124852958e-05
"1639365_at",0.0895194125000032,-0.051394797499988,0.429498367500006,0.228668197499999,9.549036645375,17.035796403061,5.940349967036e-07,9.2640124424196e-05
"1635487_at",-0.17283497525,0.360264672250009,-0.123329788749997,-0.113514221750004,9.3645546028,16.9958977780635,6.06859278705479e-07,9.34859318122879e-05
"1639230_at",0.170955402499995,-0.0525722174999927,0.291850015000003,0.0570494549999943,9.548906125875,16.8794247548045,6.46031724773287e-07,9.83213584016405e-05
"1633617_at",0.0879615425000022,-0.239116752749991,0.287372340000005,-0.0587417867500033,8.389077727525,16.8377890581733,6.60688182623397e-07,9.9354918129747e-05
"1626373_at",0.1110009505,-0.189048760499998,0.194072524000002,0.0598265977499972,7.26985192525,16.7328794324855,6.99229589409496e-07,0.000103913743216715
"1627495_at",0.0693064760000022,-0.190580590499988,0.176280087250006,0.0104697717500022,7.636848625425,16.6419644794626,7.34590447258668e-07,0.000107899378253157
"1638827_at",0.139989160000002,-0.353299857499991,0.200264955000005,-0.0441442200000033,8.5389398429,16.5157451528584,7.8691117837496e-07,0.000114255885117615
"1624926_at",0.0647859322499986,-0.0564561484999935,0.199035465750002,0.0411315524999996,7.023387669975,16.3863761264353,8.44726591538237e-07,0.000121256662548989
"1623601_at",-0.0586743822499982,0.323665872500005,-0.0805933802499985,0.0150066542499983,7.53321019865,16.2677605699439,9.0176832892414e-07,0.000127091472492078
"1634569_at",0.13532109,-0.199354862499995,0.333643482500003,0.0726314449999954,8.3925180963,16.2602911474287,9.0549655828745e-07,0.000127091472492078
"1641642_at",0.0601513300000018,-0.0698405199999836,0.336739467500008,0.151509354999993,9.947686073,16.0387291767642,1.02399079117497e-06,0.000142143424990354
"1636784_at",0.106639095000005,-0.0642999074999855,0.319905265000009,0.131452447499998,9.613276861225,15.9886738374565,1.05300943533904e-06,0.000144582773773943
"1632117_s_at",0.519158742500003,0.547813977500014,0.476530417500007,0.383322637499998,12.48170315675,15.8967530618458,1.1086305831438e-06,0.000150583027164221
"1631200_at",0.162337072500001,-0.0438660824999895,0.340152110000004,0.0320220599999983,8.730167592575,15.7121827807069,1.23010183375553e-06,0.000165069374491615
"1627152_at",0.1092226255,-0.161511153999991,0.227818944250006,0.0418623847499999,9.7266469857,15.6959971503433,1.24141787339324e-06,0.000165069374491615
"1641201_at",0.0774468869999954,-0.230061192749995,0.166157962000002,-0.0285453217500002,7.43742766875,15.5466884399074,1.35125180253022e-06,0.000177802216349601
"1635892_at",0.0592458350000058,-0.153554812499989,0.168359202500007,-0.00708345000000143,10.501154366,15.4365788263222,1.43893857988565e-06,0.000187388372588819
"1634263_at",0.109573118,-0.190607475249994,0.167618371500001,0.0247143345000005,6.733736792875,15.2304796558192,1.61997495337443e-06,0.00020881146541863
"1623607_at",0.217174544499998,-0.0827132864999944,0.308231293500001,0.0385770724999981,9.512806856675,15.0947445456069,1.7525078044918e-06,0.00022361291501354
"1641645_at",0.0140221599999952,-0.146230459999992,0.340344465000004,0.0526616574999936,9.09473324695,15.0500988439148,1.79861447423132e-06,0.0002272009803849
"1635766_at",0.516112830499996,0.481151517750007,0.498739708250003,0.409400871999999,9.820754575475,14.912587963471,1.94902139327878e-06,0.000243762754850471
"1635229_at",0.170177222500002,-0.05523995999999,0.275220327500006,0.0599413374999971,8.810840710475,14.8171880928631,2.06129634413924e-06,0.000255277406070263
"1638861_at",0.00449471600000084,0.333871985500008,0.0797691755000054,-0.0668941757500052,7.512285534925,14.7099757264602,2.19584099016056e-06,0.000269299644540856
"1637742_at",0.0969337725000017,-0.205069867749991,0.343664115000003,0.105110475,8.276613898725,14.6068997420958,2.33414360436335e-06,0.000283508673176133
"1629903_at",0.140579737499999,-0.162012359999991,0.0770366600000054,0.0969038474999957,10.9222137245,14.5428061058376,2.4248492919909e-06,0.000291720916727896
"1636498_at",0.11954106025,-0.153503018499991,0.294077080000004,0.0755926322499993,8.12977324415,14.4149498458272,2.61732905529066e-06,0.000311906609683317
