Accession,Glean.Accession,Annotation.symbol,FlyBase.ID,CG.ID,MF.Ratio,P.value
GLEAN_01645,GLEAN_01645,GA10123,FBgn0070182,CG10163,0.696116174,0
GLEAN_04994,GLEAN_04994,GA10124,FBgn0070183,CG10164,1.9136142,0
GLEAN_19590,GLEAN_19590,GA10125,FBgn0070184,CG10165,1.065514333,2.10E-09
GLEAN_19591,GLEAN_19591,GA10126,FBgn0070185,CG10166,0.791137301,0
GLEAN_04996,GLEAN_04996,GA10127,FBgn0070186,CG10168,1.033522646,0.0000132
GLEAN_15309,GLEAN_15309,GA10128,FBgn0070187,CG1017,0.667157827,0
GLEAN_14579,GLEAN_14579,GA10130,FBgn0070189,CG10171,0.892299539,9.86E-11
GLEAN_04998,GLEAN_04998,GA10134,FBgn0070193,CG10177,1.912288243,0
GLEAN_02682,GLEAN_02682,GA10135,FBgn0070194,CG10178,1.080276034,5.19E-09
GLEAN_01649,GLEAN_01649,GA10136,FBgn0070195,CG10181,1.035107066,1.80E-11
GLEAN_04989,GLEAN_04989,GA10138,FBgn0070197,CG10184,0.913388164,0
GLEAN_19592,GLEAN_19592,GA10140,FBgn0070199,CG10186,1.08417677,6.20E-14
GLEAN_10896,GLEAN_10896,GA10141,FBgn0070200,CG10188,0.851866936,0
GLEAN_10897,GLEAN_10897,GA10142,FBgn0070201,CG10189,0.798685817,0
GLEAN_14578,GLEAN_14578,GA10144,FBgn0070203,CG10191,0.935856996,0.00000414
GLEAN_10898,GLEAN_10898,GA10146,FBgn0070205,CG10194,0.947672186,7.52E-13
GLEAN_04338,GLEAN_04338,GA10149,FBgn0070208,CG10198,0.646131627,0
GLEAN_17083,GLEAN_17083,GA10151,FBgn0070210,CG10202,3.089128747,0
GLEAN_17897,GLEAN_17897,GA10153,FBgn0070212,CG10205,1.029747055,0.00003693
GLEAN_17082,GLEAN_17082,GA10155,FBgn0070214,CG10207,1.022400183,0.00852635
GLEAN_04339,GLEAN_04339,GA10156,FBgn0070215,CG10208,0.937584094,2.78E-13
GLEAN_17081,GLEAN_17081,GA10157,FBgn0070216,CG10209,0.881174713,0
GLEAN_06489,GLEAN_06489,GA10158,FBgn0070217,CG1021,0.926588062,5.11E-08
GLEAN_04340,GLEAN_04340,GA10159,FBgn0070218,CG10210,0.80068129,0
GLEAN_17080,GLEAN_17080,GA10161,FBgn0070220,CG10212,0.557947004,0
GLEAN_04341,GLEAN_04341,GA10162,FBgn0070221,CG10214,0.471490301,0
GLEAN_17696,GLEAN_17696,GA10163,FBgn0070222,CG10215,0.810508938,0
GLEAN_04343,GLEAN_04343,GA10165,FBgn0070224,CG10219,1.533151218,3.80E-14
GLEAN_16328,GLEAN_16328,GA10166,FBgn0070225,CG33505,0.522317881,0
GLEAN_04344,GLEAN_04344,GA10167,FBgn0070226,CG10221,0.910796088,2.89E-12
GLEAN_10901,GLEAN_10901,GA10169,FBgn0070228,CG10223,0.389501287,0
GLEAN_04345,GLEAN_04345,GA10170,FBgn0070229,CG10225,0.760752988,0
GLEAN_06615,GLEAN_06615,GA10173,FBgn0070232,CG10229,0.947324105,2.82E-12
GLEAN_04980,GLEAN_04980,GA10174,FBgn0070233,CG10230,0.612253067,0
GLEAN_06614,GLEAN_06614,GA10177,FBgn0070236,CG10233,1.512043872,5.00E-15
GLEAN_10902,GLEAN_10902,GA10178,FBgn0070237,CG10234,0.864537231,0
GLEAN_01654,GLEAN_01654,GA10179,FBgn0070238,CG10236,0.867538687,1.77E-09
GLEAN_10903,GLEAN_10903,GA10180,FBgn0070239,CG10237,0.930772183,0.00000029
GLEAN_10904,GLEAN_10904,GA10180,FBgn0070239,CG10237,0.695440986,0
GLEAN_06371,GLEAN_06371,GA10181,FBgn0070240,CG10238,0.408526055,0
GLEAN_06491,GLEAN_06491,GA10182,FBgn0070241,CG1024,0.729965406,0
GLEAN_18569,GLEAN_18569,GA10183,FBgn0070242,CG10240,0.429312475,0
GLEAN_16475,GLEAN_16475,GA10189,FBgn0070248,CG10247,1.26496722,1.96E-12
GLEAN_16474,GLEAN_16474,GA10190,FBgn0070249,CG10248,1.048785758,0.00000135
GLEAN_18575,GLEAN_18575,GA10197,FBgn0070256,CG10255,0.930320679,2.37E-13
GLEAN_18576,GLEAN_18576,GA10198,FBgn0070257,CG10257,1.065381401,0.000000175
GLEAN_12623,GLEAN_12623,GA10199,FBgn0070258,CG10260,0.873815135,1.24E-13
GLEAN_16470,GLEAN_16470,GA10200,FBgn0070259,CG10261,0.564991082,3.29E-12
GLEAN_19397,GLEAN_19397,GA10201,FBgn0070260,CG10262,1.113961985,0.52309178
GLEAN_19549,GLEAN_19549,GA10202,FBgn0070261,CG10263,0.936687683,4.00E-15
GLEAN_16768,GLEAN_16768,GA10204,FBgn0070263,CG10265,1.112573,5.77E-12
GLEAN_03857,GLEAN_03857,GA10205,FBgn0070264,CG10267,0.671751713,0
GLEAN_19551,GLEAN_19551,GA10206,FBgn0070265,CG10268,0.903878022,0.0000258
GLEAN_01656,GLEAN_01656,GA10207,FBgn0070266,CG10269,0.750227473,0
GLEAN_15529,GLEAN_15529,GA10208,FBgn0070267,CG10270,0.971246904,0.00484278
GLEAN_03856,GLEAN_03856,GA10209,FBgn0070268,CG10272,1.061629231,0.0005037
