ID,GAnumber,Average.intensity,log2,t,adj.p.value
GLEAN_18274,GA15336,10.98777514,-0.532678963,-4.056995734,0.005242613
GLEAN_04447,GA16053,6.232832719,-0.532210498,-4.770668201,0.001216685
GLEAN_00158,GA17549,8.633455412,-0.532162176,-2.981220655,0.039697125
GLEAN_15940,GA24035,5.494877699,-0.531939228,-3.37965,0.019260949
GLEAN_08470,GA17617,11.12187572,-0.530511944,-3.486453169,0.015536277
GLEAN_07365,GA27673,12.83103079,-0.530016383,-3.683370006,0.01074446
GLEAN_18209,GA18925,8.321973293,-0.525719981,-3.477104134,0.015779723
GLEAN_06972,GA27541,9.543149555,-0.525303554,-3.282265142,0.023302035
GLEAN_12029,GA22407,10.56549819,-0.524086429,-3.591227063,0.012806478
GLEAN_00260,GA20224,9.788084778,-0.523507136,-4.177610326,0.00407193
GLEAN_06904,GA15903,9.714537291,-0.523145845,-4.418286741,0.002554468
GLEAN_11318,GA22243,5.767927153,-0.522305585,-3.53226193,0.014255085
GLEAN_19685,GA25439,12.0395671,-0.521382961,-6.055217554,7.13E-05
GLEAN_05641,GA18386,8.431660726,-0.521286437,-3.097088104,0.032550924
GLEAN_17587,GA11435,10.70647984,-0.520469541,-3.8636272,0.007579578
GLEAN_13428,GA15293,10.92800306,-0.519339753,-3.26894367,0.023913161
GLEAN_18084,GA10058,6.222345935,-0.518799482,-3.2585457,0.024364244
GLEAN_00803,GA15266,9.230863889,-0.518682745,-3.551794241,0.013727625
GLEAN_14916,GA14693,10.76255572,-0.518170795,-3.020230536,0.036970244
GLEAN_00966,GA13565,11.33807129,-0.516455198,-3.690179274,0.010607345
GLEAN_16170,GA24122,6.178203633,-0.516088322,-3.013489213,0.037399991
GLEAN_10311,GA28809,7.978488157,-0.51514462,-4.229038838,0.003677934
GLEAN_01075,GA29178,11.08933487,-0.513907693,-4.076667908,0.005103029
GLEAN_18847,GA11639,7.011738337,-0.513449683,-4.000177838,0.005899596
GLEAN_12393,GA23270,5.797276225,-0.513369244,-4.254198579,0.003535935
GLEAN_12199,GA22467,5.680850028,-0.513164906,-4.697443147,0.001427949
GLEAN_13098,GA22896,15.02132552,-0.511320497,-3.261709183,0.024262486
GLEAN_04251,GA19638,7.273810807,-0.510062655,-5.25481732,0.000420153
GLEAN_11841,GA22315,12.51720115,-0.506980326,-4.575519114,0.001851288
GLEAN_18681,GA24993,5.939631736,-0.506761498,-3.655344555,0.011336162
GLEAN_03858,GA15350,9.746706486,-0.506512338,-3.840175185,0.007884889
GLEAN_12387,GA22546,6.586773448,-0.505890633,-3.591654052,0.012805537
GLEAN_03647,GA14496,12.16252238,-0.505430919,-2.903135878,0.045992623
GLEAN_12656,GA14112,9.296039393,-0.505147096,-4.702953516,0.001414317
GLEAN_13529,GA23105,7.472435464,-0.503051159,-3.411599841,0.018116492
GLEAN_10895,GA21473,8.367232977,-0.502591925,-4.02117752,0.005653167
GLEAN_03086,GA26087,5.978672949,-0.502411424,-3.249012077,0.024782649
