ID,logFC,AveExpr,t,P.Value,adj.P.Val,Symbol,Chromosome,GenBank,Gene
1635812_at,-0.231625413,7.0482688,-3.591271764,0.001819963,0.026299516,CG16965,2L,CG16965-RA,34607
1640290_at,-0.091224871,8.253411288,-3.590202166,0.001824493,0.026334707,CG9104,X,CG9104-RA,32677
1625113_s_at,0.115523162,9.65094071,3.587527747,0.001835869,0.026457385,CG6509,2L,CG6509-RB,34573
1624895_at,-0.177550621,8.145369844,-3.587154765,0.001837461,0.026457385,CG7529,3L,CG7529-RA,40381
1627641_s_at,0.134895741,9.845305889,3.586722879,0.001839306,0.026457385,CG17494,2L,CG17494-RA,3355127
1636257_at,-0.135309619,9.994271385,-3.585149315,0.001846044,0.026523962,CG10688,3L,CG10688-RA,39436
1636742_at,-0.186733915,7.057727604,-3.582723911,0.001856478,0.026643423,nord,2R,CG30418-RA,37882
1626607_at,-0.08017675,10.38823484,-3.578689779,0.001873961,0.026835198,sec63,3L,CG8583-RA,38819
1640405_at,-0.100735478,11.52820428,-3.578655652,0.001874109,0.026835198,l(2)01810,2L,CG5304-RA,47253
1635998_at,-0.211316884,9.016070275,-3.577378337,0.001879679,0.026884332,Cpr67B,3L,CG3672-RA,39081
1627579_at,-0.124883661,3.216641682,-3.571487483,0.001905579,0.027223793,Grd,3L,CG7446-RA,39984
1631046_s_at,0.147708308,10.05250848,3.56888745,0.001917122,0.027357612,CG6448,2L,CG6448-RA,35442
1628337_at,-0.210258703,5.077938645,-3.565657483,0.001931558,0.02753236,CG30354,2R,CG30354-RA,246560
1631227_at,0.108074631,10.41050886,3.563355983,0.001941909,0.027648562,CG5793,3R,CG5793-RA,42505
1626934_a_at,-0.17501746,6.824122442,-3.562716474,0.001944795,0.027658329,wb,2L,CG15288-RA,43946
1633647_at,0.278185885,4.661509189,3.561584587,0.001949913,0.02768284,Cpr49Ah,2R,CG8515-RA,36354
1627175_at,-0.326493174,4.696114382,-3.561361817,0.001950922,0.02768284,Ir7c,X,CG15324-RA,31692
1641385_at,-0.135488077,3.482364878,-3.560588937,0.001954427,0.0277013,CG14342,2L,CG14342-RA,33310
1623493_at,0.20062099,6.537148146,3.559544708,0.001959171,0.027711783,CG12717,X,CG12717-RA,32229
1632807_at,0.136159377,9.169456066,3.559456019,0.001959575,0.027711783,Dhap-at,3R,CG4625-RA,53586
1630943_at,0.116449279,8.050665042,3.558154757,0.001965504,0.027764407,sec3,3L,CG3885-RA,39940
1632530_s_at,-0.155096919,9.08383746,-3.55674698,0.001971939,0.027824042,CG8776,2R,CG8776-RD,36395
